           Gene_0    Gene_1    Gene_2    Gene_3    Gene_4    Gene_5    Gene_6  \
Cell_0    0.693147   0.693147   0.000000   1.098612   0.000000   0.693147  
Cell_1    0.000000   0.000000   0.000000   0.693147   0.000000   1.098612  
Cell_2    0.000000   0.000000   0.693147   0.693147   0.000000   0.000000  
Cell_3    0.000000   0.693147   0.693147   1.098612   0.000000   1.098612  
Cell_4    0.693147   1.386294   0.693147   1.098612   0.693147   0.693147  
...            ...        ...        ...        ...        ...        ...  
Cell_95   0.693147   0.000000   0.693147   0.693147   1.098612   1.098612  
Cell_96   1.098612   0.693147   0.000000   1.098612   1.386294   0.693147  
Cell_97   0.693147   0.693147   1.098612   0.693147   1.386294   1.098612  
Cell_98   1.386294   0.693147   0.000000   0.693147   0.693147   1.609438  
Cell_99   0.693147   0.693147   0.000000   0.000000   0.693147   0.000000  

[100 rows x 2000 columns]
